"filename", "language", "Dart", "YAML", "Markdown", "C++", "Swift", "XML", "HTML", "Properties", "JSON", "Log", "Groovy", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\surya\practice projects\flutter\notes_app\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\surya\practice projects\flutter\notes_app\.idea\workspace.xml", "XML", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"c:\Users\surya\practice projects\flutter\notes_app\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\gradle.xml", "XML", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle_______build_app_intermediates_flutter_debug_libs_jar.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_activity_activity_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_annotation_annotation_1_1_0.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_arch_core_core_common_2_1_0.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_arch_core_core_runtime_2_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_asynclayoutinflater_asynclayoutinflater_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_browser_browser_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_collection_collection_1_1_0.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_coordinatorlayout_coordinatorlayout_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_core_core_1_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_cursoradapter_cursoradapter_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_customview_customview_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_documentfile_documentfile_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_drawerlayout_drawerlayout_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_fragment_fragment_1_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_interpolator_interpolator_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_legacy_legacy_support_core_ui_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_legacy_legacy_support_core_utils_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_lifecycle_lifecycle_common_2_2_0.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_lifecycle_lifecycle_common_java8_2_2_0.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_lifecycle_lifecycle_livedata_2_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_lifecycle_lifecycle_livedata_core_2_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_lifecycle_lifecycle_runtime_2_2_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_lifecycle_lifecycle_viewmodel_2_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_loader_loader_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_localbroadcastmanager_localbroadcastmanager_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_print_print_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_savedstate_savedstate_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_slidingpanelayout_slidingpanelayout_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_swiperefreshlayout_swiperefreshlayout_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_versionedparcelable_versionedparcelable_1_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__androidx_viewpager_viewpager_1_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_annotations_4_1_1_4.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_ads_identifier_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_auth_api_phone_17_4_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_base_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_base_17_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_basement_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_basement_17_1_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_api_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_base_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_impl_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_sdk_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_measurement_sdk_api_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_safetynet_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_stats_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_android_gms_play_services_tasks_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_code_findbugs_jsr305_3_0_2.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_code_gson_gson_2_8_6.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_errorprone_error_prone_annotations_2_3_4.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_analytics_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_analytics_ktx_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_annotations_16_0_0.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_auth_21_0_1_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_auth_interop_19_0_2_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_auth_interop_20_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_common_20_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_common_ktx_20_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_components_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_database_collection_18_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_firestore_23_0_1_aar.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_installations_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_installations_interop_17_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_firebase_measurement_connector_19_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_firebase_protolite_well_known_types_18_0_0_aar.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_guava_failureaccess_1_0_1.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_guava_guava_28_1_android.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_guava_listenablefuture_9999_0_empty_to_avoid_conflict_with_guava.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_j2objc_j2objc_annotations_1_3.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\surya\practice projects\flutter\notes_app\android\.idea\libraries\Gradle__com_google_protobuf_protobuf_javalite_3_14_0.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13
